,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
22,Pavan37717781,Real Estate Entrepreneur.,"Pune, India",329,77,250,0,@ranjitshirole @OfficeofUT @RajThackeray @anilshidore @mnsadhikrut @mnsreport9 @BalaNandgaonkar @rajeshtope11 @CMOMaharashtra @AjitPawarSpeaks @prachee_ps Superb,[]
23,AnkushJayendra,मोठा माणूस तोच असतो♥️ जो सोबतच्या माणसाला कधी छोटा समजत नाही,,402,90,970,4,"#Kandivali #MumbaiMetro Akurli station illuminated for tomorrow's trial run...#Westernhighway
Just imagine what will be  the scene during the actual run..
Trial Run. #Mumbai❤❤ thankyou @CMOMaharashtra @OfficeofUT @AUThackeray https://t.co/IbqtcYbRiT","['Kandivali', 'MumbaiMetro', 'Westernhighway']"
24,kkolge,Son | Husband | Father | Entrepreneur,Mumbai,190,96,242,1,"permit me - covid 19 screening solution - screen for early indicators in as less as 40 sec. Solution for covid free villages 
 @OfficeofUT @CMOMaharashtra @AUThackeray @MantralayaRoom @maha_governor @PawarSpeaks",[]
25,KrishnaNavale8,,,117,9,37,82,"Why #muhs want to sacrifice the lives of students??😭🆘🆘🆘
.
Koi toh sun lo yaar, save medical students!🙏
.
Save us🆘
#muhs #muhsonline
#muhspromoteus
@OfficeofUT @AmitV_Deshmukh
@supriya_sule @Awhadspeaks
@AUThackeray @uddhavthackeray
@MeDeshmukh @Pankajamunde
@anandmahindra https://t.co/WtoVCbQEyZ",['muhs']
26,Abhi92009229,,,183,33,6164,92,Public of Maharashtra every time they see @OfficeofUT live https://t.co/73Jxoflgvg,[]
27,aniket_nerlekar,Radiologist,Republic of Dombivli,86,56,549,9,"Maharashtra Resident doctors(MD/MS) protesting for their Academics fees waiver as they have lost learning becoz of pandemic situation still serving @OfficeofUT @AjitPawarSpeaks @AmitV_Deshmukh @rajeshtope11 @supriya_sule @AUThackeray 
https://t.co/adPDhfDgcv",[]
28,GhadgeVithal,,,2,4,33,53,"@AK4784877825 @somitsenTOI @nnatuTOI @Shilparanipeta @richapintoi @Uber @Uber_India @UberINSupport @prabhjeet_s @dkhos @Zubair99619529 @TOIMumbai @CNBCTV18Live @avinashdhakne @CPMumbaiPolice @adv_anilparab @advanilparab 
@OfficeofUT @CMOMaharashtra
@UdhavThackeray @Dwalsepatil
@OfficeOfNG @nitin_gadkari 
@MORTHIndia Action  PLS",[]
29,bhatsunils,,"Bengaluru, India",317,345,110253,1,@MonicaHingoran5 @AKdixit12 @PMOIndia @BJP4India @narendramodi @nsitharamanoffc @nsitharaman @DasShaktikanta @RBI @AmitShah @pbhushan1 @OfficeofUT @INCIndia @RahulGandhi Honorable @narendramodi ji request you to please solve #PMCBankCrisis and allow depositors of PMC BANK to use their own hard earned money. #PMCBankVictims #SAVEPMCBANK depositors live's. @DasShaktikanta @RBI @sudhirchaudhary @DFS_India @moneycontrolcom @htTweets @supriya_sule https://t.co/jQ97ZufB7E,[]
30,bhatsunils,,"Bengaluru, India",317,345,110253,1,@MonicaHingoran5 @AKdixit12 @PMOIndia @BJP4India @narendramodi @nsitharamanoffc @nsitharaman @DasShaktikanta @RBI @AmitShah @pbhushan1 @OfficeofUT @INCIndia @RahulGandhi Honorable @narendramodi ji request you to please solve #PMCBankCrisis and allow depositors of PMC BANK to use their own hard earned money. #PMCBankVictims #SAVEPMCBANK depositors live's. @DasShaktikanta @RBI @sudhirchaudhary @DFS_India @moneycontrolcom @htTweets @supriya_sule https://t.co/jQ97ZufB7E,"['PMCBankCrisis', 'PMCBankVictims', 'SAVEPMCBANK']"
31,yadwad_vinayak,"Proud Indian l Sportsman at heart l Nationalist l Nature Lover l Avid Trekker l
Love to go places l Driving is Stress buster l","Dombivali, India",768,53,2146,116,"The @OfficeofUT FB Live was worse than Radhe. Clueless, confused, creditchor.

Yaar yeh LCM hain.. LazyCM.",[]
32,GhanshyamMasha1,,,15,0,2,0,@kdarda @OfficeofUT @myogiadityanath @CMOMaharashtra @BJP4Maharashtra @ShivsenaComms @BJP4India @INCIndia @MumbaiNCP @PIB_India @MahaDGIPR Right sir,[]
33,aniket_nerlekar,Radiologist,Republic of Dombivli,86,56,549,8,"Maharashtra Resident doctors (MD/MS) protest for Fees Waiver demand
@CMOMaharashtra @OfficeofUT @AjitPawarSpeaks @AmitV_Deshmukh @rajeshtope11 @supriya_sule @yadravkar https://t.co/MNzcbVw4ny",[]
34,OO7____________,Desire For Peace Isn't A Sign Of Weakness 🙏Respect Is A Two_Way Street.,Akandh Bharat 🚩,684,241,2904,19,"Respected CM &amp; PM, @OfficeofUT @narendramodi

Please provide vaccine to students who are going to give exams in India, including professional CA exams to be held in July on priority 

@theicai @JambusariaNihar @mybmc https://t.co/thLSHZQGw9",[]
35,Drsapanaagarwa1,,,118,87,2475,15,"How much do we have to wait for our admissions?? Don’t waste our whole year ! Delink NEET MDS ! Start counselling!
#NEETMDSCOUNSELLING #NEETPG2021 @SonuSood @narendramodi @AmitV_Deshmukh @MamataOfficial @OfficeofUT @TOIIndiaNews @ANI @MoHFW_INDIA @drharshvardhan @MoHFW_INDIA https://t.co/zYy8rGITkE",[]
36,AshishM88285119,"I am just like a Mirror, All clear on both sides",,90,8,123,0,"@yash_ysb @OfficeofUT @CMOMaharashtra These Gold Diggers Won't Listen To What Is Going On With The Public And What Problems are we facing, Petrol prices are on a hike due to which everything is getting expensive, and the only thing the government cares about is their Political Existence and ruling Possession",[]
37,Bk_shah1,,SGX,426,438,47260,0,@ShivamVahia @mumbailover1 @OfficeofUT Let's be fair. He could've destroyed it like Metro 3 but he didn't,[]
38,manyabs,"True Indian, Proud Hindu, Center Right, Anti Sickular & RSS guy & by profession Software Tester and Website developer...Anti Nationalist stay away..","India, Bangalore",2414,1086,17634,0,@ek_aalu_bonda @OfficeofUT @priyankac19 Twitter MP when will write column on this and talk to best CM,[]
39,himanshu3193,"Former National Coordinator, @NSUI. || Now working on being able to write a detailed bio.","Gorakhpur, India",499,1305,43507,0,"While the @OfficeofUT led MVA govt in Maharashtra is preparing for the 3rd wave by making COVID facilites for kids, world's best CM is holding preparatory meetings for 2022 elections.
Priorities!! https://t.co/rTI98Qbt0v",[]
40,subhendubhatt,"An Indian working in public/pvt sector service industry for 30 years. Know India better, worked 13 states. In the service of nation.",india,1243,331,20983,0,@ek_aalu_bonda @OfficeofUT @priyankac19 @sharmarekha you must note and act,[]
41,Neelkamalshah,धर्मो रक्षति रक्षितः।,"Mumbai, India",900,85,1427,32,"There are 400+ people standing in the queue from 6 am and the number of doses available are just 50. 
Please help us with the same.Thousands of people and 50 doses won't help.
Location : Rajawadi Hospital

@AUThackeray @mybmcedu @mybmc @OfficeofUT @CMOMaharashtra https://t.co/Epn3OAZCB6",[]
42,Rajvardhanvk09,,,178,25,14,9,"Maharashtra Resident doctors(MD/MS) protesting for their Academics fees waiver as they have lost learning becoz of pandemic situation still serving @OfficeofUT @AjitPawarSpeaks @AmitV_Deshmukh @rajeshtope11 @supriya_sule @AUThackeray 
https://t.co/adPDhfDgcv",[]
43,Rajvardhanvk09,,,178,25,14,8,"Maharashtra Resident doctors (MD/MS) protest for Fees Waiver demand
@CMOMaharashtra @OfficeofUT @AjitPawarSpeaks @AmitV_Deshmukh @rajeshtope11 @supriya_sule @yadravkar https://t.co/MNzcbVw4ny",[]
44,obnoxiousubtle,jumbled,Antarctica,829,125,5401,1,@ek_aalu_bonda @OfficeofUT @priyankac19 For ss n congi womens ..only empowerment is calling of bjp spokesperson and supporters as #गंदी_नाली_का_कीड़ा .. that,['गंदी_नाली_का_कीड़ा']
45,rnmittra,Retired engineer senior citizen resident of Mumbai,"मुंबई, भारत",0,11,3752,4,"@Pranay36511694 @republic @PMOIndia @RBI @narendramodi @nsitharaman @FinMinIndia @OfficeofUT @RanvirShorey @ndtv @IndianExpress @the_hindu @mannkibaat Sir/Mam
PMCBank victims60+Dead/suicide11 months passed yet no solution
Middle class Depositors asking own tax paid money 
Fundmental diference in banking system can be suitably amended 
Public is losing faith in banking system
Reqst revival by infusing funds against
seized asets",[]
46,rnmittra,Retired engineer senior citizen resident of Mumbai,"मुंबई, भारत",0,11,3752,11,"@republic One more death
One more suicide
We need our money back
Our own hard earned money
#PMCBankVictims #PMCBankScam #PMCBankCrisis @PMOIndia @RBI @narendramodi @nsitharaman @FinMinIndia @OfficeofUT @RanvirShorey @ndtv @republic @IndianExpress @the_hindu #MiddleClassMatters @mannkibaat","['PMCBankVictims', 'PMCBankScam']"
47,SwatiGem,"CEO ,SevaShakti. Ns Advocacy, Hospital Plng,sp Visiting Faculty TISS,NUSSD. Founder VP-Clinical Nursing Research Society, Public Health Specialist,@jsamumbai","Mumbai, India",937,398,1895,0,@uddhavthackeray leadership has bridged many gaps . Maharashtra is grateful to have @OfficeofUT as it’s leader. @neelamgorhe @PawarSpeaks @supriya_sule @Dev_Fadnavis @Jayant_R_Patil @rajeshtope11 https://t.co/jKV46dFT8v,[]
48,MilanSRoy3,Medico 💉,,107,77,8497,12,"Please Look into the matter of #MUHS offline examination of 2/3 Year medical students on 10th june in Maharashtra. @CMOMaharashtra  @DrRPNishank  @MoHFW_INDIA @SrBachchan  @OfficeofUT  @SonuSood  @AmitV_Deshmukh 
Please save our lives.
🆘🆘🆘🆘🆘🆘🆘🆘
#muhsonline  #muhsonline https://t.co/cCjPnk4Mxu",['MUHS']
49,rnmittra,Retired engineer senior citizen resident of Mumbai,"मुंबई, भारत",0,11,3752,2,"@AnitaLohia5 @republic @RBI @DasShaktikanta @PMOIndia @nsitharamanoffc @FMoINDIA @DFS_India @OfficeofUT Sir/Mam
PMCBank victims60+Dead/suicide11 months passed yet no solution
Middle class Depositors asking own tax paid money 
Fundmental diference in banking system can be suitably amended 
Public is losing faith in banking system
Reqst revival by infusing funds against
seized asets",[]
50,rnmittra,Retired engineer senior citizen resident of Mumbai,"मुंबई, भारत",0,11,3752,16,@republic We #PMCBankDepositors wants JUSTICE 11.5 months 62 deaths not a single word from @RBI @DasShaktikanta @PMOIndia @nsitharamanoffc @FMoINDIA @DFS_India @OfficeofUT Why?Where is Ordinance that passed 2 months back Why they r not Resolving #PMCBankCrisis it’s not a Rocket 🚀 Science,['PMCBankDepositors']
51,ChiragSheth369,Contributing in Vision of Made in India and in favour of producing 100% made in India.,Mumbai,348,98,9360,0,"Why no @Dev_Fadnavis ji invited?
Because of him the todays mumbai metro is here and not of @OfficeofUT ji, it was his pet project and his because of his targets set in 2016 for 2019 we are now here in 2021. Instead its delayed by 18 months... The reasons best known to all. https://t.co/YwODi2GSBT",[]
52,kothekar_p,"Product Owner at Fluke Corporation👨‍💼, PSPO™,MBA from Great Lakes👨‍🎓, 🏠:Pune, Other cities -Gurgaon🏙, Trivandrum 🏖️ & Warringtion🏴󠁧󠁢󠁥󠁮󠁧󠁿","Pune, India",141,59,108,0,"@shraddhavs @OfficeofUT I won't say that he doesn't understand things. He's sensible to an extent but lacks the drive of producing results. He is more of an artistic person and not an administrator. He uses linguistic effects and connects an emotional chord always, rather than being clear &amp; to the point",[]
53,AtharvSunilPat1,,,118,76,7499,12,"Please Look into the matter of #MUHS offline examination of 2/3 Year medical students on 10th june in Maharashtra. @CMOMaharashtra  @DrRPNishank  @MoHFW_INDIA @SrBachchan  @OfficeofUT  @SonuSood  @AmitV_Deshmukh 
Please save our lives.
🆘🆘🆘🆘🆘🆘🆘🆘
#muhsonline  #muhsonline https://t.co/cCjPnk4Mxu",['MUHS']
54,Vidyut,Creativity is life. Compassion is soul. || Artisan soaps & carnivorous plants https://t.co/TQhx7SXOPe || Prime Minister of #AltSarkar || Inspire,India,212,42818,372421,2,@Vidyut @OfficeofUT Maharashtra literacy rate is good and the dr. Patient ratio might also be higher compared to other states. So more cases get reported is also a fact @rajeshtope11,[]
55,Amber_red_devil,Engineer building exciting things at @Pubmatic | Pune | Football | FPL enthusiast | GGMU,"Pune, India",572,42,2192,11,"@DMHospitalPune  #COVID19Vaccination centre at BSM school, Mayur colony, Pune.   
Second phase:
31.5.21. 10 am.
11000 = Total vaccinations in 6 days +1hour.
&gt;1000 = Total charity doses in 6days + 1 hour. Equivalent of &gt; Rs. 900,000. 

@mangeshkarlata @CMOMaharashtra @OfficeofUT",['COVID19Vaccination']
56,iMrudang,साम दाम दंड भेद!,"Mira Road, Mumbai",75,70,333,0,"@MumbaiMetroCity @richapintoi They doing this strategically so that if anything happen, they can play a blame game😎 @BhaindarMira @OfficeofUT @PMOIndia @MoHFW_INDIA @mybmcHealthDept",[]
57,MukeshA04265224,Pharmacist,,2662,1992,11736,9,"Dear #UddhavThackeray if we've shut our businesses for this long, govt can too shut our light bills, emis, rents, school fees etc. Cause we're all together in this 
#maharashtralockdown @CMOMaharashtra @OfficeofUT @AUThackeray @supriya_sule @AjitPawarSpeaks #Relief",['UddhavThackeray']
58,Manya1498,Writer.,"Mumbai, India",53,12,13,0,@CMOMaharashtra @OfficeofUT I work in the entertainment industry. Every lockdown the crew suffer the most financial crisis and you are neglecting it. Shoot ia going on in other states with precautions so why not us? Is there any financial support for people like us too? #UddhavThackeray #lockdown,"['UddhavThackeray', 'lockdown']"
59,pankaj1012k,,,892,10,3950,9,"Dear #UddhavThackeray if we've shut our businesses for this long, govt can too shut our light bills, emis, rents, school fees etc. Cause we're all together in this 
#maharashtralockdown @CMOMaharashtra @OfficeofUT @AUThackeray @supriya_sule @AjitPawarSpeaks #Relief",['UddhavThackeray']
60,hujefayk,CA Hujefa Yunus Karjatwala,"Karjat, India",579,549,24788,5,"Mumbai needs to open from 8am to 8pm

Opening essential only till 2 &amp; even non essential till same time, will be loss to MSMEs and create more crowded places in morning time

Need to rethinking on timings @OfficeofUT @mybmc https://t.co/FatgdS6uA0",[]
61,Rahulkarn98,Justice for Sushant,,25,16,797,0,@OfficeofUT @narendramodi  Sir lockdown lagana solution nahi hai kuch alternate solution dhundo aise to desh barbaad hojayega Economic crisis chal rahi hai india aur bhi week nation hojayega. Why not you focus on health care so we can fight with corona.,[]
62,shankleshas,,"Mumbai, India",3374,1272,23861,116,"The @OfficeofUT FB Live was worse than Radhe. Clueless, confused, creditchor.

Yaar yeh LCM hain.. LazyCM.",[]
63,itsKsh3,"#student BSC
( #Information_technology) 
#mumbaiker 
#proud_to_be_indian
#जय_श्रीराम 🚩","Malad East, Mumbai",4788,6300,10146,9,"Dear #UddhavThackeray if we've shut our businesses for this long, govt can too shut our light bills, emis, rents, school fees etc. Cause we're all together in this 
#maharashtralockdown @CMOMaharashtra @OfficeofUT @AUThackeray @supriya_sule @AjitPawarSpeaks #Relief",['UddhavThackeray']
64,SelvaFromIndia,"Acceptance can never be a one way street.

Jai Hind!",India,956,226,58637,479,"This is a local Urdu news channel in Adarsh bhai @AshokChavanINC's town 

cc: CM UTha @officeofut https://t.co/FnUpqBTMBf",[]
65,MkMukeshmook,I want Bharat to be a superpower. A proud Hindu.,,545,653,202361,479,"This is a local Urdu news channel in Adarsh bhai @AshokChavanINC's town 

cc: CM UTha @officeofut https://t.co/FnUpqBTMBf",[]
66,imkpbhatt,Student.Unpredictable.Talkative.Over Sensitive.Vulnerably Emotional.Stubborn.Stupid.Moody.Opinionated.Mirthfully Mischievous.Proud Indian Hindu Gujju Brahmin,India,4971,1077,69260,479,"This is a local Urdu news channel in Adarsh bhai @AshokChavanINC's town 

cc: CM UTha @officeofut https://t.co/FnUpqBTMBf",[]
67,Nitish24_7,Memes,"Ho Chi Minh, Vietnam",475,212,449,0,"This is how a vaccination drive of a highly infectious and deadly disease in Pune looks like. No social distancing, no temp checks and ppl not following any slots. Whats the point of booking slots if ppl are anyways going to queue like this? @OfficeofUT @AUThackeray @narendramodi https://t.co/qZD9rw7Xh6",[]
68,HemantKothari3,CA,"Kalyan Dombivali, India",237,597,15827,31,"Please stop charging for light bills, taxes, school/college fees if there is no source of income for businessman while lockdown. @OfficeofUT
@CMOMaharashtra
#maharashtralockdown",[]
69,KanjanHaresh,Tax Consultant,,5,9,278,4,"@HemantParshu @4XPulse @NMMCCommr @MoHFW_INDIA @NaviMumbaiNet @EnvironmentLife @navimumbaicv @Secretary_MoHUA @MoHUA_India @NaikSpeaks @isandeepgnaik @mandamhatre @SwachSurvekshan @nitin_gadkari @Republic_Bharat @zeenewseditor @CPCB_OFFICIAL @MNCDFbombay @bksinghips @Navimumpolice @NMMConline @SwachhBharatGov @mieknathshinde @rajanvichare @sanvidhanvarta @Reduced_Air_P @hemant_parida @PMOIndia @OfficeofUT @CMOMaharashtra @vikaskharage @vinay1011 @_KALYANDOMBIVLI @KhargharCity @VoiceOfPanvel @navi_mumbai2020 @KinderJhatka @KartaviryaArjun @LokayuktaT @bhupesh_kate @Sanatan_speaks @swamirahuleshw1 @bhidegurujii @YuvrajSambhaji @HathodaPost @HJS_Pravakta @jairshroff @UNFCCC @MahaEnvCC @ClimateReality Day 85: #SahayakJanheetAbhiyan #WateringThePlants #Sector17Vashi #ClimateJustice 4 #Navimumbai #CleanAir #CleanWater #CleanPolitics #ContractorLessPolitics = #PollutionFreeCity #ProsecuteGoldenGang 4 #Deaths of #Citizens #TrustDoctrine. 
#जयजिजाऊ!
#जयजयदेव!
#जयआऊसाहेब! https://t.co/5pTCckTVeJ",[]
70,1857Kash,Soldier's Blood.,,266,45,30801,0,@ek_aalu_bonda @OfficeofUT @priyankac19 @priyankac19 's party,[]
71,kayveejayarao,"Exposing criminal acts of DGCA and large scale violation in the Aviation Sector.Exposing Corrupt officials ,criminals and corruption in Air India.","Thane, India",206,383,2977,0,@mumbai_wakeup @Janpratinidhi_ @Mohan_Rngnathan @Kaila_arvind @TMS190 @FoundationHands @PMOIndia @ushapadhee1996 @HardeepSPuri @AwakenIndia @BigBird27307509 @cabsect_india @Swamy39 @1200 @TimesNow @republic @Republic_Bharat @ndtvindia @aajtak @ANI @NewsX @brajeshlive @fayedsouza @JPNadda @rsprasad @IPS_Association @rashtrapatibhvn @ari_maj @chitraSD @Bombay_Lawyers @AvionViks @vibhor_anand @flyingbeast320 @PoulomiMSaha @MumbaiPolice @AmitShah @AmitShahOffice @moneycontrolcom @SCofInd @SCofIndia @AmberDubey_MoCA @MoCA_GoI @syedzafarBJP @manjunathsinge @PawarSpeaks @CMOMaharashtra @OfficeofUT ? ? CN IT HAPPEN UNLES SM OFFICER OF AIR INDIA IS COLLUDING WTH THM.? DO D GT ACCESS 2 USED MASKS &amp; GLOVES.D IS AN ADMITTED CRIMINAL OFFENCE OF ENDANGERING LIVES. HS AN FIR BN FILED BY D OFFICER WHO HS ISSUED D CIRCULAR.SAD https://t.co/telAAJZIyV,[]
72,Ashua1979,Think cinema-Feel Cinema-live Cinema  | Member - UP Cinema Exhibitors Federation | Motion Pictures Association Delhi | Rotarian -Dist 3120 | #LoveToTravel,India,132,242,3798,0,"@OfficeofUT @AUThackeray @AmitV_Deshmukh 
Pvt sec has always supported govt in whatever stance it has takenNow its the turn of the govt to support the businesses, cinemas, restaurants. V r in bad shape. a financial package required #Maharashtra 🙏🏽
@akshayerathi @quirky_chokra https://t.co/eoEmEPGKkT",['Maharashtra']
73,shethtanish,"insta id : tanish44 /
snapchat: tanish_sheth",INDIA ❤️,23,34,81,1,@AUThackeray @mybmc @OfficeofUT @PMOIndia  Thank you so much for troubling citizens of India and even frontline workers. Can there be anything that is standardised and well organized in this country? Anything? Literally?,[]
74,aces170,"A technology geek, who also likes financial statsitics","मुंबई, भारत",272,83,1019,0,"@suyogks @OfficeofUT @rajeshtope11 There are some statistics on private vaccine limit per day. It's not even crossing 2.5k a day in Mumbai, the cost is not the constraint but supply definitely is. Get as many vaccinated as possible before 3rd wave and not go in a populist denial again.",[]
75,KhndeshiPunekar,मराठा 🚩Fan of Indian Army 🚩 Cloud enthusiast,Swarajya,4396,1144,90823,116,"The @OfficeofUT FB Live was worse than Radhe. Clueless, confused, creditchor.

Yaar yeh LCM hain.. LazyCM.",[]
76,MSEDCL,महाराष्ट्र राज्य विद्युत वितरण कंपनी मर्यादित,,71,40420,62578,0,"@rohitbhasme3 @CMOMaharashtra @OfficeofUT @NitinRaut_INC @MinOfPower Dear Consumer, we acknowledge your concern and one of MSEDCL customer care representative will contact tomorrow in business hours on your registered mobile number.",[]
77,more_59199,,,98,37,149,2,"@ek_aalu_bonda @boog257 @OfficeofUT @priyankac19 @CPMumbaiPolice @MumbaiPolice @CMOMaharashtra @hmo_maharashtra @Dev_Fadnavis what r u waiting for sir, a dead body?
Shame on u",[]
78,AyaanB2R,"Physics is Lit🌈 Roman Stan🎗️                               Game Of Thrones ❄️ 16 may, 2020. The day when Roman liked my tweet",redapple,696,1625,30684,31,"Please stop charging for light bills, taxes, school/college fees if there is no source of income for businessman while lockdown. @OfficeofUT
@CMOMaharashtra
#maharashtralockdown",[]
79,amitmotewar,,"Pune, India",163,48,58,0,"When the 2 nd dose of covaxin will start for the age group 18 + ,those who are alredy taken 1 st dose in the start of the may ,shedule of the dose is coming near (currently vaccination is skipped for age group 18+ to 44 ) @rajeshtope11 , @OfficeofUT @InfoYavatmal",[]
80,thatsylhettiguy,"You, the First Rain; and I, the Petrichor.
You, Glinting Luna; and I, the Blazing Sun.

|🇮🇳भारतीय🚩সিলটি 🕉हिन्दू ☯ब्राह्मण |
RTs may not be endorsements
🍊","Nagpur, India",567,334,21228,0,"Congratulations to @PMOIndia and @OfficeofUT, Petrol prices in Nagpur have finally crossed the ₹100 mark (just bought 3 litres of petrol for ₹301) 🎊🎊🎊

Nahi hai bhai aukaat sher paalney ki, agli baar NOTA karke kutta paal lenge 🥰🥰

#PetrolDieselPriceHike #PetrolPrice","['PetrolDieselPriceHike', 'PetrolPrice']"
81,Jesika110895,,"Mumbai, India",14,1,2,1,@AUThackeray @mybmc @OfficeofUT @PMOIndia  Thank you so much for troubling citizens of India and even frontline workers. Can there be anything that is standardised and well organized in this country? Anything? Literally?,[]
82,more_59199,,,98,37,149,0,@ek_aalu_bonda @OfficeofUT @priyankac19 @sharmarekha @NCWIndia Ma'am kindly look into it immediately,[]
83,mybmcwardKW,Official account of Ward-KW of Municipal Corporation of Greater Mumbai. For emergency Dial 1916 or ward control room number 022-26234000. App- MCGM 24X7,,28,9156,8963,0,@VersovaHsgSty @mybmc @OfficeofUT @AUThackeray Please provide exact location of the complaint for quick resolution of the issue.,[]
84,kaarthikakumar1,Dental surgeon,,1,3,761,35,"How much do we have to wait for our admissions?? Don’t waste our whole year ! Delink NEET MDS ! Start counselling!
#NEETMDSCOUNSELLING #NEETPG2021 @SonuSood @narendramodi @AmitV_Deshmukh @MamataOfficial @OfficeofUT @TOIIndiaNews @ANI @MoHFW_INDIA @drharshvardhan @MoHFW_INDIA https://t.co/HvTTTJ2UrH",[]
85,saket_mundhada,,,72,1,33,9,"Maharashtra Resident doctors(MD/MS) protesting for their Academics fees waiver as they have lost learning becoz of pandemic situation still serving @OfficeofUT @AjitPawarSpeaks @AmitV_Deshmukh @rajeshtope11 @supriya_sule @AUThackeray 
https://t.co/adPDhfDgcv",[]
86,saket_mundhada,,,72,1,33,8,"Maharashtra Resident doctors (MD/MS) protest for Fees Waiver demand
@CMOMaharashtra @OfficeofUT @AjitPawarSpeaks @AmitV_Deshmukh @rajeshtope11 @supriya_sule @yadravkar https://t.co/MNzcbVw4ny",[]
87,the_mitesh,"🚩🚩Proud Hindu 🚩🚩
🚩🚩स्वंयसेवक (आरएसएस) 🚩🚩
 Engineer By Education",worldwide,2455,1289,157145,116,"The @OfficeofUT FB Live was worse than Radhe. Clueless, confused, creditchor.

Yaar yeh LCM hain.. LazyCM.",[]
88,BDhekne,i love india,,11,7,1109,32,@supriya_sule Thnx ma'am @supriya_sule for taking up humanitarian #PMCBankCrisis plz speak to @nsitharaman @RBI @DasShaktikanta regarding merger 16 lakh depositors will bless u @NCPspeaks @PawarSpeaks @AjitPawarSpeaks plz help @PMOIndia @TV9Marathi @zeemarathi @ABPNews @abpmajhatv @OfficeofUT,['PMCBankCrisis']
89,_Ashu7,"Hindu. Global Minority. Internet isn't Free, nothing is!",India,77,19,3895,0,"@drharshvardhan is busy writing letters to @yogrishiramdev while Hospitals are robbing people in broad day light!

This is called ""आपदा में अवसर"". 

(Read the replies) @JPNadda @narendramodi @MoHFW_INDIA @OfficeofUT @mlkhattar @myogiadityanath @NitishKumar @mkstalin @TelanganaCMO https://t.co/PMtq3tGu8m",[]
90,Muneermuh,Strategy Execution | Disruptive Innovation | Lean Startups | Global Expert Columnist | Non Profit | Social Capital | Entrepreneur | Management Consultant,USA | India | UAE,587,4499,17217,0,"WE NEED MORE LEADERS LIKE @MamataOfficial didi. Way to go! In a democracy like India, federal government cannot play petty politics with States. @vijayanpinarayi @OfficeofUT @mkstalin @TelanganaCMO  @ArvindKejriwal stand up and fight!

 https://t.co/cmTiVV5kyE via @YahooIndia",[]
91,AamadmiGs,,,4191,5900,292644,20,"@iMac_too @AshokChavanINC @OfficeofUT @HMOIndia @PMOIndia please take note of this Urdu news channel of Maharashtra, they are showing the distorted map of our country",[]
92,joshmachine1973,"RT is not endorsement. Travelling Salesman , like = read later ... Tech, History, Politics, Whiskey and Cold Beer",India,2059,772,195920,479,"This is a local Urdu news channel in Adarsh bhai @AshokChavanINC's town 

cc: CM UTha @officeofut https://t.co/FnUpqBTMBf",[]
93,SherriSanTee,,"Mumbai, India",104,67,313,32,"There are 400+ people standing in the queue from 6 am and the number of doses available are just 50. 
Please help us with the same.Thousands of people and 50 doses won't help.
Location : Rajawadi Hospital

@AUThackeray @mybmcedu @mybmc @OfficeofUT @CMOMaharashtra https://t.co/Epn3OAZCB6",[]
94,cosmos1234567,, India,237,68,4722,2,@Vidyut @OfficeofUT Maharashtra literacy rate is good and the dr. Patient ratio might also be higher compared to other states. So more cases get reported is also a fact @rajeshtope11,[]
95,BhalkeSadashiv,Mbbs student,,192,183,2907,18,"Please MUHS, it’s a humble request. Either take our exams online or take them only after all students are vaccinated. Pehle Suraksha, Phir Pariksha!
@OfficeofUT @PMOIndia @DrAjitpathak1 @AmitV_Deshmukh @DrAmolDeshmukh @DrHritik @rupesh_nathe @Pravinraje_rade @SonuSood @sachin_rt",[]
96,nitinnikhare,कट्टर हिन्दू । मोदी फैन ।,,294,233,30448,92,Public of Maharashtra every time they see @OfficeofUT live https://t.co/73Jxoflgvg,[]
97,CsirEvc,"ENVIRONMENTAL VIROLOGY CELL, CSIR-NEERI, Nagpur",,16,60,137,0,"https://t.co/HbJgVfyWOS
Saline Gargle RT-PCR testing formally begins at Nagpur on 29th May 2021. RPTS-NEERI COVID-19 testing centre become the 1st in India to start Saline Gargle RT-PCR
@uddhavthackeray @OfficeofUT @AUThackeray @RajeshTopeNCP @PIBMumbai @Matapune @CMOMaharashtra",[]
98,Shubham68125932,,,88,36,25,0,"Congratulations @OfficeofUT Saheb🙏🏻

This survey has proved once again that Maharashtra stands firmly with Uddhavsaheb and MVA Sarkar

@abpmajhatv https://t.co/xkihNoovmC",[]
99,annie06062000,real is rare🦋,Mumbai ,37,2,20,0,"@mybmc @MumbaiPolice @aajtak @EduMinOfIndia @OfficeofUT @AUThackeray 
Due to covid, &amp; financial problem I was stuck in my natives place. I was not able to take admission for my TYBCOM in DTSS COLLEGE MALAD (EAST)  MUMBAI.",[]
100,AamadmiGs,,,4191,5900,292644,479,"This is a local Urdu news channel in Adarsh bhai @AshokChavanINC's town 

cc: CM UTha @officeofut https://t.co/FnUpqBTMBf",[]
